ano;mes;temperatura
1990;NOV.;21.93
1991;NOV.;20.56
1992;NOV.;19.65
1993;NOV.;22.28
1994;NOV.;20.93
1995;NOV.;20.48
1996;NOV.;19.75
1997;NOV.;21.5
1998;NOV.;19.2
1999;NOV.;18.4
2000;NOV.;20.5
2001;NOV.;20.8
2002;NOV.;21.4
2003;NOV.;20.3
2004;NOV.;20.2
2005;NOV.;19.6
2006;NOV.;20.1
2007;NOV.;19.8
2008;NOV.;19.6
2009;NOV.;23.3
2010;NOV.;20.1
2011;NOV.;18.9
2012;NOV.;20.0
2013;NOV.;20.7
2014;NOV.;20.6
2015;NOV.;21.6
2016;NOV.;19.9
2017;NOV.;19.8
2018;NOV.;20.2
2019;NOV.;20.4
2020;NOV.;19.7
2021;NOV.;19.7
2022;NOV.;18.51
2023;NOV.;22.7
1933;DEZ.;18.43
1934;DEZ.;19.5
1935;DEZ.;20.81
1936;DEZ.;19.92
1937;DEZ.;18.33
1938;DEZ.;19.64
1939;DEZ.;19.84
1940;DEZ.;22.64
1941;DEZ.;19.72
1942;DEZ.;18.3
1943;DEZ.;18.35
1944;DEZ.;19.2
1945;DEZ.;18.58
1946;DEZ.;19.79
1947;DEZ.;18.65
1948;DEZ.;19.41
1949;DEZ.;19.66
1950;DEZ.;19.95
1951;DEZ.;18.45
1952;DEZ.;19.79
1953;DEZ.;19.39
1954;DEZ.;19.63
1955;DEZ.;20.18
1956;DEZ.;19.1
1957;DEZ.;20.75
1958;DEZ.;21.49
1959;DEZ.;20.25
1960;DEZ.;20.5
1961;DEZ.;20.16
1962;DEZ.;19.42
1963;DEZ.;20.16
1964;DEZ.;19.24
1965;DEZ.;21.57
1966;DEZ.;20.84
1967;DEZ.;18.85
1968;DEZ.;21.41
1969;DEZ.;18.95
1970;DEZ.;22.03
1971;DEZ.;20.28
1972;DEZ.;21.23
1973;DEZ.;20.93
1974;DEZ.;19.73
1975;DEZ.;21.25
1976;DEZ.;21.09
1977;DEZ.;19.68
1978;DEZ.;20.7
1979;DEZ.;21.29
1980;DEZ.;22.53
1981;DEZ.;20.7
1982;DEZ.;20.17
1983;DEZ.;21.34
1984;DEZ.;20.31
1985;DEZ.;20.98
1986;DEZ.;21.26
1987;DEZ.;21.61
1988;DEZ.;21.04
1989;DEZ.;20.37
1990;DEZ.;21.03
1991;DEZ.;22.33
1992;DEZ.;20.6
1993;DEZ.;21.77
1994;DEZ.;22.67
1995;DEZ.;21.2
1996;DEZ.;22.1
1997;DEZ.;23.1
1998;DEZ.;22.0
1999;DEZ.;21.7
2000;DEZ.;21.9
2001;DEZ.;21.3
2002;DEZ.;22.6
2003;DEZ.;21.9
2004;DEZ.;20.6
2005;DEZ.;20.4
2006;DEZ.;22.0
2007;DEZ.;21.7
2008;DEZ.;20.3
2009;DEZ.;21.8
2010;DEZ.;22.0
2011;DEZ.;21.0
2012;DEZ.;23.7
2013;DEZ.;22.3
2014;DEZ.;22.5
2015;DEZ.;23.0
2016;DEZ.;22.3
2017;DEZ.;21.7
2018;DEZ.;22.5
2019;DEZ.;22.5
2020;DEZ.;22.2
2021;DEZ.;20.6
2022;DEZ.;21.03
2023;DEZ.;23.1
