ano;mes;temperatura
1979;AGO.;17.321774193548386
1980;AGO.;16.851478494623652
1981;AGO.;16.177419354838705
1982;AGO.;17.388709677419353
1983;AGO.;16.4391129032258
1984;AGO.;15.310887096774193
1985;AGO.;17.443413978494622
1986;AGO.;17.270698924731185
1987;AGO.;15.72392473118279
1988;AGO.;16.488172043010753
1989;AGO.;16.116975806451613
1990;AGO.;15.210887096774195
1991;AGO.;16.67701612903226
1992;AGO.;15.295564516129035
1993;AGO.;15.3614247311828
1994;AGO.;16.222002688172044
1995;AGO.;18.723118279569896
1996;AGO.;15.532795698924728
1997;AGO.;17.1
1998;AGO.;18.4
1999;AGO.;16.4
2000;AGO.;16.2
2001;AGO.;17.8
2002;AGO.;19.2
2003;AGO.;15.1
2004;AGO.;16.3
2005;AGO.;18.2
2006;AGO.;17.4
2007;AGO.;17.0
2008;AGO.;17.6
2009;AGO.;17.3
2010;AGO.;16.0
2011;AGO.;17.2
2012;AGO.;17.8
2013;AGO.;16.5
2014;AGO.;16.9
2015;AGO.;18.5
2016;AGO.;16.7
2017;AGO.;16.3
2018;AGO.;16.2
2019;AGO.;16.6
2020;AGO.;16.5
2021;AGO.;17.3
2022;AGO.;16.25255376344086
2023;AGO.;18.4
1933;SET.;16.18027777777778
1934;SET.;16.169861111111107
1935;SET.;16.194571256038646
1936;SET.;15.369027777777779
1937;SET.;15.789444444444449
1938;SET.;16.40013888888889
1939;SET.;15.642222222222223
1940;SET.;16.226111111111113
1941;SET.;13.789722222222224
1942;SET.;15.311527777777778
1943;SET.;14.981805555555557
1944;SET.;17.124027777777776
1945;SET.;15.729999999999997
1946;SET.;17.786944444444444
1947;SET.;16.088194444444447
1948;SET.;16.711111111111112
1949;SET.;16.110833333333336
1950;SET.;17.12458333333333
1951;SET.;16.341666666666665
1952;SET.;15.974166666666665
1953;SET.;17.666388888888893
1954;SET.;17.69652777777778
1955;SET.;16.6
1956;SET.;17.736250000000002
1957;SET.;15.818194444444446
1958;SET.;16.76888888888889
1959;SET.;18.266944444444444
1960;SET.;17.237083333333334
1961;SET.;19.678333333333338
1962;SET.;17.11097222222222
1963;SET.;19.721527777777776
1964;SET.;17.263333333333335
1965;SET.;18.74958333333333
1966;SET.;16.035555555555554
1967;SET.;17.688333333333336
1968;SET.;16.238750000000003
1969;SET.;17.94763888888889
1970;SET.;16.311666666666675
1971;SET.;16.934583333333332
1972;SET.;17.483194444444447
1973;SET.;16.251805555555556
1974;SET.;16.793194444444442
1975;SET.;17.61472222222222
1976;SET.;16.14097222222222
1977;SET.;18.22527777777778
1978;SET.;17.09180555555556
1979;SET.;16.725277777777777
1980;SET.;15.711388888888889
1981;SET.;18.342500000000005
1982;SET.;17.358055555555556
1983;SET.;15.375416666666668
1984;SET.;16.42902777777778
1985;SET.;17.00138888888889
1986;SET.;16.912499999999998
1987;SET.;16.387083333333333
1988;SET.;18.623680555555552
1989;SET.;17.02680555555556
1990;SET.;16.188750000000002
1991;SET.;16.360138888888887
1992;SET.;16.811944444444443
1993;SET.;16.900416666666665
1994;SET.;18.761111111111113
1995;SET.;17.58030555555555
1996;SET.;16.84263888888889
1997;SET.;18.4
1998;SET.;18.1
1999;SET.;17.7
2000;SET.;17.4
2001;SET.;17.7
2002;SET.;17.1
2003;SET.;17.4
2004;SET.;19.9
2005;SET.;17.1
2006;SET.;17.4
2007;SET.;19.1
2008;SET.;17.0
2009;SET.;18.9
